id;module_name;default_port;redis_key_prefix;status;logging_mode;logging_filter;dns_name
1;best-of-breed disintermediate;bloc;array;0;Bedfordshire Pines payment;SAS Montana;blue bus Customer
2;logistical leading-edge leverage;inst;Point;0;global cross-platform;Soap Rupiah;Honduras synergies
3;Korea Rustic Granite;paym;matri;0;grid-enabled mobile bypassing;Home Refined Distributed;Zealand Berkshire
4;Orchestrator;Squa;Intui;0;content;programming world-class;silver
5;Unions implement Fresh;card;manag;0;payment Island New;monitor;vertical Garden object-oriented
6;invoice mobile;depl;Direc;0;haptic withdrawal;Frozen;Samoa Practical
7;well-modulated Small e-tailers;proj;Concr;1;Pizza mission-critical;Pants portal eco-centric;Health USB
8;parse matrix transition;invo;Shoes;1;Quetzal;bandwidth Auto Producer;salmon
9;lime Ergonomic;Mark;state;1;Concrete transmitting Micronesia;Small;Intuitive indigo
10;Nauru;Engi;disin;0;Credit deploy Ball;Peru Mission Intranet;web-enabled Kuna
