id;flow_name;flow_desc;flow;product_id
1;invoic;Profit-focused concept Central;wireless wireless;1
2;hackin;mobile mint partnerships;connecting array Martinique;2
3;Statio;XML Unbranded;Graphic;3
4;Port h;Rubber e-business disintermediate;Branding;4
5;Tala S;overriding;Orchestrator;5
6;Bedfor;Bedfordshire;directional Bike infrastructures;6
7;applic;Persevering Frozen deposit;Zambia;7
8;Coves ;sky Fish parse;Response silver Account;8
9;Pizza;e-business SMTP generate;matrix Profound;9
10;progra;Communications;Buckinghamshire Tactics Facilitator;10
