id;property;p_value;comment_desc;module_id
1;Associate;circuit Strategist Central;state Regional synergies;1
2;Credit Leone;AI;solution Berkshire Islands;2
3;Polarised Pound eyeballs;Secured;generate;3
4;Electronics Agent;intuitive;fresh-thinking Planner;4
5;Fantastic;needs-based partnerships;clicks-and-mortar grey;5
6;card Fresh;Croatian;TCP Ukraine;6
7;parsing Exclusive Plastic;executive Helena Berkshire;Plastic Gambia;7
8;SMTP salmon intermediate;backing Bedfordshire;TCP azure interfaces;8
9;state Decentralized;Games;Plastic invoice mobile;9
10;Account withdrawal navigating;Salad Beauty;Branding;10
